"","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
"1",1001,54907,76,18,1,2,24571,668,37.5
"2",1003,187114,83,9,1,4,26766,693,41.5
"3",1005,27321,46,46,0,5,16829,382,38.3
"4",1007,22754,75,22,0,2,17427,351,39.4
"5",1009,57623,88,1,0,8,20730,403,39.6
"6",1011,10746,22,71,0,6,18628,276,39.6
"7",1013,20624,54,44,1,1,17403,331,40.6
"8",1015,117714,73,21,1,3,20828,422,38.7
"9",1017,34145,58,40,1,1,19291,374,42.4
"10",1019,26034,92,5,0,1,22030,375,45
"11",1021,43744,81,10,0,8,20701,405,38
"12",1023,13687,56,43,0,0,20323,345,44.2
"13",1025,25573,54,44,0,0,18979,325,40.3
"14",1027,13703,80,15,0,3,18694,276,42.1
"15",1029,14945,93,4,0,2,19108,371,41.3
"16",1031,50468,72,17,1,6,23380,456,37.8
"17",1033,54456,79,16,0,2,21572,399,41.7
"18",1035,13104,51,45,0,1,15605,331,43.2
"19",1037,11198,66,31,0,2,18493,301,44.7
"20",1039,37847,84,13,0,1,20391,353,42.4
"21",1041,13955,71,23,1,2,21343,279,40.6
"22",1043,80499,92,1,0,4,20760,401,40.4
"23",1045,50102,70,19,1,6,22685,434,36.1
"24",1047,43091,29,69,0,1,17245,305,38
"25",1049,71076,81,2,0,14,18149,359,38.8
"26",1051,79895,74,20,1,3,23856,550,37.8
"27",1053,38169,61,32,0,2,16540,386,39.4
"28",1055,104260,79,15,1,3,20204,412,40.3
"29",1057,17110,86,11,0,1,18494,287,43.5
"30",1059,31666,79,4,0,15,18888,333,38.3
"31",1061,26791,84,9,0,3,20199,377,41.9
"32",1063,8934,18,81,0,1,14930,240,42.4
"33",1065,15594,40,59,0,0,18812,207,40.7
"34",1067,17308,68,27,2,2,21924,353,42.7
"35",1069,102326,68,26,1,3,23316,483,38.6
"36",1071,53171,90,3,0,3,20486,336,42
"37",1073,658552,51,42,1,4,26906,587,37.2
"38",1075,14396,86,12,0,1,19026,276,42.9
"39",1077,92666,85,10,1,2,23510,405,40.8
"40",1079,34009,77,11,0,2,20181,337,41.2
"41",1081,144405,69,23,3,4,23506,580,29.9
"42",1083,85264,78,13,1,6,25020,435,38.5
"43",1085,11086,25,74,0,1,18368,318,41
"44",1087,20803,16,81,0,1,16826,351,36.8
"45",1089,339279,66,24,2,5,31933,585,37.4
"46",1091,20669,46,52,0,2,22072,340,41.8
"47",1093,30615,92,4,0,2,19576,280,43.5
"48",1095,93699,83,2,1,12,20382,415,38.4
"49",1097,413188,59,35,2,2,22501,561,36.7
"50",1099,22778,55,42,0,1,15749,339,40.4
"51",1101,228980,38,55,2,3,24975,596,34.8
"52",1103,119673,77,12,1,8,23764,443,39
"53",1105,10390,30,68,0,1,13716,224,35.8
"54",1107,19516,56,41,0,2,17153,250,42.1
"55",1109,32977,57,36,2,2,19715,432,31.6
"56",1111,22819,75,20,0,3,19830,345,41.5
"57",1113,55544,51,42,1,4,19678,528,35.2
"58",1115,84521,87,9,1,2,23872,508,38.9
"59",1117,198366,80,11,2,6,33313,740,37.3
"60",1119,13552,24,73,1,1,14156,301,37.2
"61",1121,81845,64,32,0,2,19410,368,40
"62",1123,41428,69,27,0,2,21434,382,42
"63",1125,196824,64,30,1,3,22637,570,31.4
"64",1127,66622,90,5,0,2,20698,402,41.8
"65",1129,17284,65,24,1,1,20395,318,39.8
"66",1131,11531,27,73,0,0,13379,237,39
"67",1133,24342,95,1,0,3,18995,328,43.6
"68",2013,3141,13,12,37,13,26535,711,41.4
"69",2016,5538,30,6,31,11,31790,1071,38.6
"70",2020,295237,62,6,8,8,36214,1048,32.8
"71",2050,17356,11,1,1,1,18497,984,26.2
"72",2060,933,53,0,0,5,37024,857,40.9
"73",2068,2020,87,1,4,3,35295,714,39.2
"74",2070,4923,18,0,1,2,21498,836,28.7
"75",2090,98656,73,4,2,7,32143,1048,30.7
"76",2100,2546,80,0,1,1,31096,691,44
"77",2105,2141,47,0,1,2,28806,448,46.4
"78",2110,31897,67,1,6,6,37558,1085,37.3
"79",2122,56163,82,1,1,3,31256,772,40.7
"80",2130,13595,65,0,6,4,31589,880,38.7
"81",2150,13850,52,1,19,8,28562,865,31.9
"82",2164,1454,22,0,1,2,21616,535,29.8
"83",2170,91519,82,1,1,4,29534,894,34.7
"84",2180,9695,17,1,1,2,20271,929,27.9
"85",2185,9484,32,0,5,3,46457,796,33.5
"86",2188,7624,11,1,1,1,21461,866,25.7
"87",2195,3806,70,2,1,5,34183,646,42.4
"88",2198,5672,49,0,1,3,24581,577,39.4
"89",2220,8945,64,1,5,5,32521,908,38.5
"90",2230,1080,77,0,14,1,37139,908,44.3
"91",2240,7047,78,2,2,4,29437,959,35.9
"92",2261,9682,71,0,4,4,32579,744,38
"93",2270,7678,4,0,0,0,11210,320,22
"94",2275,2371,66,0,1,3,28474,609,53.3
"95",2282,607,35,6,1,2,34317,640,41
"96",2290,5656,22,0,1,1,19729,404,35.3
"97",4001,71978,20,0,0,6,12709,330,32.7
"98",4003,131038,58,4,2,33,23608,618,39.8
"99",4005,134795,55,1,1,14,23382,868,31
"100",4007,53335,65,1,0,18,20792,603,47.9
"101",4009,37168,52,2,1,31,17168,519,31.9
"102",4011,8679,48,1,0,47,20516,236,33.6
"103",4012,20408,62,1,1,24,22200,405,53.8
"104",4013,3889161,58,5,3,30,27256,793,35
"105",4015,201680,79,1,1,15,20833,628,48
"106",4017,107326,43,0,0,11,16626,500,35.2
"107",4019,986891,55,3,3,35,25269,675,37.8
"108",4021,379128,58,5,2,29,20910,755,36.1
"109",4023,47122,16,0,1,83,17664,509,35.7
"110",4025,211968,82,1,1,14,25186,701,50.1
"111",4027,199026,35,2,1,60,18840,680,33.4
"112",5001,18957,71,25,1,3,23045,392,41.1
"113",5003,21645,68,25,0,5,19761,355,39.7
"114",5005,41281,96,0,1,2,21334,465,50.9
"115",5007,227439,76,1,3,16,26715,596,34.7
"116",5009,37099,95,0,0,2,22160,427,41.5
"117",5011,11418,58,28,0,14,19386,372,40.2
"118",5013,5319,73,25,0,1,17763,340,42.7
"119",5015,27531,83,0,1,14,20637,438,44.2
"120",5017,11621,40,54,0,5,16538,306,42.4
"121",5019,22912,70,24,1,4,17960,414,33.5
"122",5021,15790,96,0,0,2,18509,291,42.9
"123",5023,25856,95,1,0,2,23044,463,46.4
"124",5025,8648,85,13,0,1,20622,365,40.3
"125",5027,24512,59,37,1,2,19439,339,36.1
"126",5029,21235,82,12,0,4,20040,413,40.6
"127",5031,98398,79,14,1,5,23138,512,33.1
"128",5033,61796,86,1,2,6,19477,424,38.3
"129",5035,50447,45,50,1,2,19665,483,34.4
"130",5037,17760,74,22,1,2,18701,414,39.4
"131",5039,8045,54,41,2,2,16838,288,43
"132",5041,12774,47,48,0,4,19822,316,39.3
"133",5043,18686,67,28,1,3,17057,392,37.4
"134",5045,115928,82,11,1,4,24401,548,31.4
"135",5047,18063,93,1,0,2,19135,418,40.9
"136",5049,12266,96,0,1,1,19326,317,47.3
"137",5051,96547,84,8,1,5,23170,521,44.2
"138",5053,17922,94,2,0,2,23239,508,39.6
"139",5055,42580,95,1,0,2,19652,448,37.6
"140",5057,22509,56,30,0,12,17376,381,38.8
"141",5059,33182,84,11,0,3,19286,429,40.1
"142",5061,13748,67,21,0,10,18707,363,36.9
"143",5063,36786,89,3,0,6,20289,414,38.3
"144",5065,13560,95,1,0,2,18040,339,47.5
"145",5067,17809,78,16,0,3,15609,330,41.2
"146",5069,75782,41,55,1,2,19353,442,37.5
"147",5071,25655,83,2,1,13,19366,440,38.6
"148",5073,7501,60,37,0,2,17212,277,43.7
"149",5075,17227,96,1,0,1,15971,338,40.6
"150",5077,10267,41,56,0,2,12529,309,39.8
"151",5079,14148,65,29,0,3,15023,360,36.9
"152",5081,12992,74,20,0,3,19880,303,41.3
"153",5083,22221,92,2,2,2,19046,338,41.9
"154",5085,69266,88,6,1,4,23218,517,35.4
"155",5087,15671,92,0,1,5,18754,388,40.7
"156",5089,16605,95,0,0,2,18188,375,50.8
"157",5091,43515,70,24,1,3,20636,511,37.4
"158",5093,45912,60,34,0,4,18905,376,35
"159",5095,8002,56,41,0,2,16939,271,43.8
"160",5097,9387,93,1,0,4,19021,344,46.9
"161",5099,8948,65,31,1,3,18695,342,41.3
"162",5101,8211,95,0,0,0,17884,244,46.5
"163",5103,25651,56,40,0,2,18975,326,42.6
"164",5105,10381,93,3,0,3,22047,383,42.4
